Title,Link
'Parecia o fim do mundo': as vítimas esquecidas da 1ª explosão de teste de bomba atômica nos EUA,https://www.bbc.com/portuguese/articles/c72l16ynrgjo
Pastor do funeral de menina sequestrada nos EUA é acusado de assassinato dela,https://www.bbc.com/portuguese/articles/cyjgrxrlemko
A guerra 'esquecida' que deixa milhares de crianças feridas e passando fome,https://www.bbc.com/portuguese/articles/c3gz5q58vgwo
Como Paris vai permitir volta de banhistas ao rio Sena após 100 anos,https://www.bbc.com/portuguese/articles/cz93pxk6611o
O impressionante 'cemitério oculto' com restos de milhares de pessoas na capital do Peru,https://www.bbc.com/portuguese/articles/c72v08k27yzo
"Vídeo, Eleição na Espanha: os 3 possíveis cenários com incerteza após votação, Duration 5,02",https://www.bbc.com/portuguese/internacional-66299391
"Vídeo, Como Japão, país mais endividado do mundo, ainda tem crédito internacional, Duration 5,20",https://www.bbc.com/portuguese/66255891
"Os melhores exercícios para controlar pressão alta, segundo pesquisa",https://www.bbc.com/portuguese/articles/cp37jr4510eo
Projeto inovador salva crianças com cirurgias à distância no Brasil,https://www.bbc.com/portuguese/articles/cp4knlj2vq7o
Os 4 recordes climáticos em um mês que podem deixar planeta ‘perto do pior cenário possível’,https://www.bbc.com/portuguese/articles/cl5e1vwywjzo
Como surgiu a tempestade mais intensa já observada na Terra (e o que ela nos diz sobre os vulcões),https://www.bbc.com/portuguese/articles/cllgz0lygeno
O que o futebol feminino pode ensinar ao masculino,https://www.bbc.com/portuguese/articles/cn0j68rkyr1o
A mulher que luta para resgatar do lixão corpo de mãe vítima de serial killer,https://www.bbc.com/portuguese/articles/c3g813j38z2o
"As diferenças de amizades de homens e mulheres: 'Elas se importam com quem você é, e eles com o que você é'",https://www.bbc.com/portuguese/articles/c87mgkgyxyvo
